x,y,z,content_id,well_id,_x,_y,_z
5626200.0,2315700.0,-445.0,5,1018р_3,5,5,5
5626200.0,2315700.0,-450.0,5,1018р_3,5,5,5
5626200.0,2315700.0,-450.0,4,1018р_3,5,5,5
5626200.0,2315700.0,-455.0,4,1018р_3,5,5,5
5626200.0,2315700.0,-460.0,4,1018р_3,5,5,5
5626200.0,2315700.0,-465.0,4,1018р_3,5,5,5
5626200.0,2315700.0,-470.0,4,1018р_3,5,5,5
5626200.0,2315700.0,-475.0,4,1018р_3,5,5,5
5626200.0,2315700.0,-480.0,4,1018р_3,5,5,5
5626200.0,2315700.0,-485.0,4,1018р_3,5,5,5
5626200.0,2315700.0,-490.0,4,1018р_3,5,5,5
